Ranking,Player,2021/22,2021/22(*)
545.,Shaquille Harrison,308493,356724
545.,DJ Wilson,308493,356725
548.,Jeff Dowtin,305761,353564
549.,Trevelin Queen,303102,350491
549.,Paul Watson,303102,350491
551.,Myles Powell,300443,347416
552.,Jontay Porter,300000,346904
553.,Mason Jones,295125,341267
554.,Eugene Omoruyi,281831,325894
555.,Brandon Knight,274672,317616
556.,Justin Robinson,265953,307533
557.,Ja'Vonte Smart,265878,307447
558.,Mychal Mulder,257902,298223
559.,Tyler Johnson,257418,297664
560.,Cassius Stanley,256734,296873
560.,Zylan Cheatham,256734,296871
562.,Devon Dotson,239291,276703
563.,Marcus Garrett,236632,273628
564.,Lindell Wigginton,233973,270554
565.,Jay Huff,225997,261331
566.,Olivier Sarr,223339,258257
567.,Aaron Henry,223338,258256
568.,Freddie Gillespie,221156,255732
569.,JaQuori McLaughlin,220679,255181
570.,Rayjon Tucker,220639,255134
571.,Tacko Fall,218021,252108
571.,Petr Cornelie,218021,252108
573.,Juwan Morgan,211046,244042
574.,Damyean Dotson,205662,237816
575.,Xavier Moon,202069,233661
576.,Tyrone Wallace,198760,229835
577.,Norvel Pelle,191860,221856
577.,Jaylen Hoard,191860,221856
577.,Tremont Waters,191860,221856
580.,Reggie Perry,188272,217706
581.,Devin Cannady,185578,214592
582.,Brandon Williams,180798,209065
583.,Moses Wright,172821,199840
583.,DeJon Jarreau,172821,199840
585.,Dakota Mathias,171156,197915
585.,Matt Mooney,171156,197915
587.,Daulton Hommes,167504,193692
588.,Grant Riller,162186,187543
589.,Lindy Waters III,159527,184468
590.,CJ Miles,151821,175557
590.,Joe Johnson,151821,175557
590.,Ersan Ilyasova,151821,175557
590.,Darren Collison,151821,175557
590.,Anthony Tolliver,151821,175557
595.,Chaundee Brown,151552,175246
596.,Xavier Sneed,146233,169096
597.,Mario Chalmers,138019,159597
598.,Anthony Lamb,136095,157372
599.,Braxton Key,127622,147574
600.,Troy Williams,122741,141931
601.,Feron Hunt,116987,135276
602.,Mac McClung,111670,129128
603.,Matt Ryan,111669,129128
604.,Emmanuel Mudiay,111457,128883
605.,Carlik Jones,106352,122978
605.,Hassani Gravett,106352,122979
605.,Paris Bass,106352,122979
608.,Jordan Bell,102831,118908
608.,Cheick Diallo,102831,118908
610.,DJ Stewart,101034,116830
611.,Nate Hinton,96213,111255
612.,Derrick Walton,95930,110928
612.,DaQuan Jeffries,95930,110928
612.,Justin James,95930,110928
612.,Scotty Hopson,95930,110928
612.,BJ Johnson,95930,110928
612.,Jaylen Morris,95930,110928
618.,Demetrius Jackson,92857,107374
619.,Cameron Oliver,85578,98957
619.,Chris Clemons,85578,98957
619.,Malik Newman,85578,98957
619.,George King,85578,98957
619.,Jemerrio Jones,85578,98957
619.,Emanuel Terry,85578,98957
625.,Jared Harper,85081,98383
626.,Gabriel Lundberg,79764,92234
627.,Anthony Barber,53176,61489
627.,Malik Ellison,53176,61489
627.,Justin Tillman,53176,61489
627.,Tre Scott,53176,61489
627.,Trayvon Palmer,53176,61489
627.,Micah Potter,53176,61489
627.,Jaysean Paige,53176,61489
627.,Ahmad Caver,53176,61489
627.,Shaq Buchanan,53176,61489
627.,Jon Teske,53176,61489
627.,Aric Holman,53176,61489
627.,Javin DeLaurier,53176,61489
627.,Tyler Hall,53176,61489
627.,Rob Edwards,53176,61489
627.,Aleem Ford,53176,61489
627.,MJ Walker,53176,61489
627.,Cameron McGriff,53176,61489
627.,Jarron Cumberland,53176,61489
627.,Ade Murkey,53176,61489
627.,Jordan Schakel,53176,61489
627.,Jordan Goodwin,53176,61489
627.,Craig Sword,53176,61489
627.,Jaime Echenique,53176,61489
650.,Luca Vildoza,42789,49478
651.,Zavier Simpson,37223,43042
652.,Mfiondu Kabengele,19186,22185
653.,Melvin Frazier,13294,15372
