trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
40,2023-12-30,Toronto Raptors,Incoming,Pick,,,,2024,2,DET pick,,
41,2023-10-31,LA Clippers,Outgoing,Cap Space,,,,,,,,10450000,-$10.45M CAP SPACE
41,2023-10-31,LA Clippers,Incoming,Player,James Harden,34,SG,,,,,"Salary: $40,770,931"
41,2023-10-31,LA Clippers,Incoming,Player,P.J. Tucker,38,PF,,,,,"Salary: $11,014,500"
41,2023-10-31,LA Clippers,Incoming,Player,Filip Petrusev,23,PF,,,,,"Salary: $1,119,563"
41,2023-10-31,LA Clippers,Outgoing,Player,Marcus Morris Sr.,34,SF,,,,,
41,2023-10-31,LA Clippers,Outgoing,Player,Nicolas Batum,34,SF,,,,,
41,2023-10-31,LA Clippers,Outgoing,Player,Robert Covington,32,PF,,,,,
41,2023-10-31,LA Clippers,Outgoing,Player,Kenyon Martin Jr.,22,SF,,,,,
41,2023-10-31,LA Clippers,Outgoing,Pick,,,,2024,2,,,
41,2023-10-31,LA Clippers,Outgoing,Pick,,,,2027,1,,,
41,2023-10-31,LA Clippers,Outgoing,Pick,,,,2028,1,,,
41,2023-10-31,LA Clippers,Outgoing,Pick,,,,2029,1,,,
41,2023-10-31,LA Clippers,Outgoing,Pick,,,,2029,2,,,
41,2023-10-31,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,10450000,+$10.45M CAP SPACE
41,2023-10-31,Philadelphia 76ers,Incoming,Player,Marcus Morris Sr.,34,SF,,,,,"Salary: $17,116,279"
41,2023-10-31,Philadelphia 76ers,Incoming,Player,Nicolas Batum,34,SF,,,,,"Salary: $11,710,818"
41,2023-10-31,Philadelphia 76ers,Incoming,Player,Robert Covington,32,PF,,,,,"Salary: $11,692,308"
41,2023-10-31,Philadelphia 76ers,Incoming,Player,Kenyon Martin Jr.,22,SF,,,,,"Salary: $1,930,681"
41,2023-10-31,Philadelphia 76ers,Incoming,Cash,,,,,,2000000,,$2 Million
41,2023-10-31,Philadelphia 76ers,Incoming,Pick,,,,2024,2,TOR pick or IND-UTA-CLE pick,,
