trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
34,1610612747,LAL,2019,2019-02-06,203493,Reggie Bullock,Forwards,-0.03677368523015823,0.001290178777678038,-0.03806386400783627,Preenche Lacuna,-0.01490327288259268,-0.029336229203735933,Melhorou,1,Ofensivo,1,Ofensivo
22,1610612747,LAL,2019,2019-02-07,203488,Mike Muscala,Centers,0.04653153994644747,-0.00822287782037132,0.05475441776681879,Redundante,0.05323372902169464,0.040068918579391676,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
18,1610612748,MIA,2020,2020-02-06,2738,Andre Iguodala,Forwards,-0.0013703120075638188,0.009267634004295509,-0.010637946011859328,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
18,1610612748,MIA,2020,2020-02-06,203524,Solomon Hill,Forwards,-0.0013703120075638188,0.009267634004295509,-0.010637946011859328,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
18,1610612748,MIA,2020,2020-02-06,203109,Jae Crowder,Forwards,-0.0013703120075638188,0.009267634004295509,-0.010637946011859328,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
18,1610612748,MIA,2021,2021-03-25,203506,Victor Oladipo,Guards,-0.059698862207454725,0.006395762686680525,-0.06609462489413526,Preenche Lacuna,0.05040400447653013,0.03444389385311676,Sim,3,Reconstrução,0,Defensivo
24,1610612748,MIA,2021,2021-03-25,202357,Nemanja Bjelica,Forwards,0.04328450910310245,0.014414560851604113,0.028869948251498335,Redundante,0.0032502969579172205,-0.017655535734121246,N/A (nao era lacuna),3,Reconstrução,0,Defensivo
44,1610612749,MIL,2019,2018-12-07,201588,George Hill,Guards,0.027595589129881755,0.03856374527709422,-0.010968156147212464,Preenche Lacuna,0.011239076243458596,-0.007577333430117973,Melhorou,2,Elite,2,Elite
44,1610612749,MIL,2019,2018-12-07,201160,Jason Smith,Forwards,0.052663886830433666,0.025380075596655376,0.02728381123377829,Redundante,0.015357168459508555,0.008255788505067242,N/A (nao era lacuna),2,Elite,2,Elite
30,1610612749,MIL,2019,2019-02-07,202703,Nikola Mirotic,Forwards,0.015634180911659926,0.0028857874399276636,0.012748393471732261,Redundante,0.039789956078032346,0.02214984476221182,N/A (nao era lacuna),2,Elite,2,Elite
31,1610612749,MIL,2021,2021-03-19,200782,P.J. Tucker,Forwards,0.03890598112322052,0.019916705639050875,0.01898927548416965,Redundante,0.03429047186405289,0.02142935889100485,N/A (nao era lacuna),0,Defensivo,0,Defensivo
31,1610612749,MIL,2021,2021-03-19,1629066,Rodions Kurucs,Forwards,0.03890598112322052,0.019916705639050875,0.01898927548416965,Redundante,0.03429047186405289,0.02142935889100485,N/A (nao era lacuna),0,Defensivo,0,Defensivo
46,1610612750,MIN,2019,2018-11-10,203496,Robert Covington,Forwards,0.010196556257414944,0.018817274161503764,-0.00862071790408882,Preenche Lacuna,0.0177732076205364,0.010492893056509103,Sim,1,Ofensivo,1,Ofensivo
46,1610612750,MIN,2019,2018-11-10,201573,Jerryd Bayless,Guards,-0.027422394658743132,0.06581293700663103,-0.09323533166537416,Preenche Lacuna,-0.026810953981077815,-0.03910399850454936,Melhorou,1,Ofensivo,1,Ofensivo
46,1610612750,MIN,2019,2018-11-10,203967,Dario Saric,Forwards,0.010196556257414944,0.018817274161503764,-0.00862071790408882,Preenche Lacuna,0.0177732076205364,0.010492893056509103,Sim,1,Ofensivo,1,Ofensivo
33,1610612750,MIN,2020,2020-01-16,203459,Allen Crabbe,Guards,0.02227901023890785,0.00047497890102898247,0.02180403133787887,Redundante,-0.011793250311153317,-0.013331147910940937,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
29,1610612750,MIN,2020,2020-02-05,202323,Evan Turner,Forwards,0.00048359077395962067,0.008603353483624215,-0.008119762709664594,Preenche Lacuna,0.1037728687466788,0.06172831971174045,Sim,1,Ofensivo,1,Ofensivo
29,1610612750,MIN,2020,2020-02-05,1627736,Malik Beasley,Guards,0.013191906461735705,0.0031336619278446057,0.010058244533891099,Redundante,-0.0811052911257876,-0.09024370092882568,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
29,1610612750,MIN,2020,2020-02-05,1629020,Jarred Vanderbilt,Forwards,0.00048359077395962067,0.008603353483624215,-0.008119762709664594,Preenche Lacuna,0.1037728687466788,0.06172831971174045,Sim,1,Ofensivo,1,Ofensivo
18,1610612750,MIN,2020,2020-02-06,201949,James Johnson,Forwards,0.0011592856570833664,0.009267634004295509,-0.008108348347212142,Preenche Lacuna,0.12988439806897148,0.07423194969660415,Sim,1,Ofensivo,1,Ofensivo
