team_id,team_abbreviation,team_name,season_end_year,season_year,style_cluster,style_label,performance_cluster,performance_label
1610612746,LAC,LA Clippers,2021,2020-21,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612746,LAC,LA Clippers,2022,2021-22,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612746,LAC,LA Clippers,2023,2022-23,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612746,LAC,LA Clippers,2024,2023-24,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612746,LAC,LA Clippers,2025,2024-25,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612747,LAL,Los Angeles Lakers,2013,2012-13,0,Alto Turnover,3,3: Elite Contenders
1610612747,LAL,Los Angeles Lakers,2014,2013-14,3,Bola em Movimento (alta assistência),2,2: Rebuilding / Lottery
1610612747,LAL,Los Angeles Lakers,2015,2014-15,0,Alto Turnover,2,2: Rebuilding / Lottery
1610612747,LAL,Los Angeles Lakers,2016,2015-16,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612747,LAL,Los Angeles Lakers,2017,2016-17,0,Alto Turnover,2,2: Rebuilding / Lottery
1610612747,LAL,Los Angeles Lakers,2018,2017-18,0,Alto Turnover,1,1: Offensive / High Pace
1610612747,LAL,Los Angeles Lakers,2019,2018-19,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612747,LAL,Los Angeles Lakers,2020,2019-20,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612747,LAL,Los Angeles Lakers,2021,2020-21,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612747,LAL,Los Angeles Lakers,2022,2021-22,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612747,LAL,Los Angeles Lakers,2023,2022-23,0,Alto Turnover,1,1: Offensive / High Pace
1610612747,LAL,Los Angeles Lakers,2024,2023-24,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612747,LAL,Los Angeles Lakers,2025,2024-25,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2013,2012-13,1,Aro Desguarnecido,3,3: Elite Contenders
1610612748,MIA,Miami Heat,2014,2013-14,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2015,2014-15,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2016,2015-16,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2017,2016-17,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2018,2017-18,0,Alto Turnover,1,1: Offensive / High Pace
1610612748,MIA,Miami Heat,2019,2018-19,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2020,2019-20,1,Aro Desguarnecido,3,3: Elite Contenders
1610612748,MIA,Miami Heat,2021,2020-21,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2022,2021-22,1,Aro Desguarnecido,3,3: Elite Contenders
1610612748,MIA,Miami Heat,2023,2022-23,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2024,2023-24,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612748,MIA,Miami Heat,2025,2024-25,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612749,MIL,Milwaukee Bucks,2013,2012-13,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612749,MIL,Milwaukee Bucks,2014,2013-14,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612749,MIL,Milwaukee Bucks,2015,2014-15,0,Alto Turnover,1,1: Offensive / High Pace
1610612749,MIL,Milwaukee Bucks,2016,2015-16,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612749,MIL,Milwaukee Bucks,2017,2016-17,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612749,MIL,Milwaukee Bucks,2018,2017-18,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612749,MIL,Milwaukee Bucks,2019,2018-19,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
