team_id,team,season_end_year,n_trades,n_players_in,n_players_out,n_players_moved
1610612765,Detroit Pistons,2024,5,10,0,10
1610612744,Golden State Warriors,2024,1,0,0,0
1610612745,Houston Rockets,2024,1,1,0,1
1610612754,Indiana Pacers,2024,4,5,1,6
1610612746,LA Clippers,2024,1,1,0,1
1610612763,Memphis Grizzlies,2024,3,4,2,6
1610612748,Miami Heat,2024,1,1,0,1
1610612749,Milwaukee Bucks,2024,2,2,0,2
1610612750,Minnesota Timberwolves,2024,1,1,0,1
1610612740,New Orleans Hornets,2024,1,0,0,0
1610612752,New York Knicks,2024,1,2,0,2
1610612760,Oklahoma City Thunder,2024,2,1,0,1
1610612755,Philadelphia 76ers,2024,4,2,2,4
1610612756,Phoenix Suns,2024,1,2,4,6
1610612757,Portland Trail Blazers,2024,1,1,0,1
1610612758,Sacramento Kings,2024,1,1,0,1
1610612759,San Antonio Spurs,2024,1,1,1,2
1610612761,Toronto Raptors,2024,3,6,0,6
1610612762,Utah Jazz,2024,2,4,0,4
1610612764,Washington Wizards,2024,2,3,0,3
1610612737,Atlanta Hawks,2025,3,5,0,5
1610612738,Boston Celtics,2025,1,0,0,0
1610612766,Charlotte Hornets,2025,4,4,0,4
1610612741,Chicago Bulls,2025,1,3,1,4
1610612739,Cleveland Cavaliers,2025,1,1,0,1
1610612742,Dallas Mavericks,2025,2,3,3,6
1610612765,Detroit Pistons,2025,2,3,1,4
1610612744,Golden State Warriors,2025,1,1,4,5
1610612745,Houston Rockets,2025,2,2,0,2
1610612754,Indiana Pacers,2025,1,0,0,0
1610612746,LA Clippers,2025,3,4,0,4
1610612747,Los Angeles Lakers,2025,2,4,3,7
1610612763,Memphis Grizzlies,2025,1,2,2,4
1610612748,Miami Heat,2025,1,3,2,5
1610612749,Milwaukee Bucks,2025,2,3,4,7
1610612740,New Orleans Hornets,2025,2,2,0,2
1610612752,New York Knicks,2025,1,2,2,4
1610612760,Oklahoma City Thunder,2025,2,1,0,1
1610612755,Philadelphia 76ers,2025,3,2,0,2
1610612756,Phoenix Suns,2025,3,3,0,3
1610612758,Sacramento Kings,2025,3,4,5,9
1610612759,San Antonio Spurs,2025,2,3,3,6
1610612761,Toronto Raptors,2025,3,3,1,4
1610612762,Utah Jazz,2025,4,5,1,6
1610612764,Washington Wizards,2025,4,8,4,12
